timestamp,coin,side,size,price,value_usd,liquidated_address,liquidator_address,_exchange,exchange,symbol,value,quantity
2026-03-16T02:06:11.739386+00:00,BTC,short,0.00204,72795.0,148.5018,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0xd8592afc09c864df215d8012122aed08e4ae453f,hyperliquid,,,,
2026-03-16T01:59:00.216499+00:00,BTC,short,0.00204,72716.0,148.34064,0x4b950f84d6f56ead87f2071eb0c9e09097c4372b,0xd8592afc09c864df215d8012122aed08e4ae453f,hyperliquid,,,,
2026-03-16T01:59:00.350127+00:00,BTC,short,0.00204,72716.0,148.34064,0x4b950f84d6f56ead87f2071eb0c9e09097c4372b,0xd8592afc09c864df215d8012122aed08e4ae453f,hyperliquid,,,,
2026-03-16T02:05:05.901270+00:00,BTC,short,0.00203,72822.0,147.82866,0xc8264ebc379e26946e7d31ae4746c27182849755,0xd8592afc09c864df215d8012122aed08e4ae453f,hyperliquid,,,,
2026-03-16T02:05:05.910891+00:00,BTC,short,0.00203,72822.0,147.82866,0xc8264ebc379e26946e7d31ae4746c27182849755,0xd8592afc09c864df215d8012122aed08e4ae453f,hyperliquid,,,,
2026-03-16T02:04:04.758956+00:00,BTC,short,0.00203,72770.0,147.72310000000002,0x31dea2516beee92135b96f464eeec3cf292a13f2,0xd8592afc09c864df215d8012122aed08e4ae453f,hyperliquid,,,,
2026-03-16T02:04:05.369804+00:00,BTC,short,0.00203,72770.0,147.72310000000002,0x31dea2516beee92135b96f464eeec3cf292a13f2,0xd8592afc09c864df215d8012122aed08e4ae453f,hyperliquid,,,,
2026-03-16T02:03:42.295518+00:00,BTC,short,0.00203,72747.0,147.67641,0x4d969e59b312970cc07af266938a4433ccae0b4c,0xd8592afc09c864df215d8012122aed08e4ae453f,hyperliquid,,,,
2026-03-16T02:03:43.411983+00:00,BTC,short,0.00203,72747.0,147.67641,0x4d969e59b312970cc07af266938a4433ccae0b4c,0xd8592afc09c864df215d8012122aed08e4ae453f,hyperliquid,,,,
2026-03-16T02:06:41.693382+00:00,BTC,short,0.00203,72733.0,147.64799000000002,0x3ac9b030594c1ef23a3e8fed9f62356b7bf98bf6,0xd8592afc09c864df215d8012122aed08e4ae453f,hyperliquid,,,,
