symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,liquidated_address,liquidator_address
,short,,71425.0,,2026-03-15T20:26:40.444146+00:00,hyperliquid,BTC,0.00039,27.85575,0xa1d22621c9b077ce4ac468908114a82b2de4a8db,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71425.0,,2026-03-15T20:26:41.406950+00:00,hyperliquid,BTC,0.00039,27.85575,0xa1d22621c9b077ce4ac468908114a82b2de4a8db,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71416.0,,2026-03-15T20:25:40.568535+00:00,hyperliquid,BTC,0.00039,27.85224,0x162cc7c861ebd0c06b3d72319201150482518185,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71416.0,,2026-03-15T20:25:40.574628+00:00,hyperliquid,BTC,0.00039,27.85224,0x162cc7c861ebd0c06b3d72319201150482518185,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71410.0,,2026-03-15T20:29:10.380478+00:00,hyperliquid,BTC,0.00039,27.849899999999998,0xb3a38662575bdf1541013ce987934dba919851ea,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71410.0,,2026-03-15T20:29:10.420980+00:00,hyperliquid,BTC,0.00039,27.849899999999998,0xb3a38662575bdf1541013ce987934dba919851ea,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71404.0,,2026-03-15T20:28:40.891165+00:00,hyperliquid,BTC,0.00039,27.847559999999998,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71404.0,,2026-03-15T20:28:41.981539+00:00,hyperliquid,BTC,0.00039,27.847559999999998,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71390.0,,2026-03-15T20:27:40.293851+00:00,hyperliquid,BTC,0.00039,27.8421,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71390.0,,2026-03-15T20:27:42.928231+00:00,hyperliquid,BTC,0.00039,27.8421,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71609.0,,2026-03-15T20:32:10.376320+00:00,hyperliquid,BTC,0.00038,27.21142,0x4588595ee0047982cd5ca4a82ab69c3174fbc832,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71609.0,,2026-03-15T20:32:10.483032+00:00,hyperliquid,BTC,0.00038,27.21142,0x4588595ee0047982cd5ca4a82ab69c3174fbc832,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71572.0,,2026-03-15T20:30:40.476083+00:00,hyperliquid,BTC,0.00038,27.19736,0x1ec15e24896f4feb55dd70d22dc3620ae3cc990c,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71572.0,,2026-03-15T20:30:42.571535+00:00,hyperliquid,BTC,0.00038,27.19736,0x1ec15e24896f4feb55dd70d22dc3620ae3cc990c,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71476.0,,2026-03-15T20:23:40.310707+00:00,hyperliquid,BTC,0.00038,27.160880000000002,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
