symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,address,pnl,order_type,avg_price,order_status,exchange
BTC,LONG,684.1,72776.6,0.94,1773650697673,okx,,,,,,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00938,683.39,0x1aaa5935...,-9.21,,,,
BTC,LONG,655.3997999999999,72822.2,0.009,1773650492411,binance,,,,,,LIMIT,73119.0,FILLED,
BTC,LONG,654.56,72729.0,0.009,1773650589444,bybit,,,,,,,,,
BTC,LONG,654.42,72713.1,0.009,1773650592443,bybit,,,,,,,,,
BTC,LONG,614.87,73112.0,0.00841,1773650485152,hyperliquid,,,,,,,,,hyperliquid
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00803,585.03,0x2bc4d9f8...,-9.48,,,,
,long,,72873.0,,2026-03-16T08:45:11.290000,hyperliquid,BTC,0.00696,507.2,0xbe635392...,-6.06,,,,
BTC,LONG,487.66,73112.0,0.00667,1773650485152,hyperliquid,,,,,,,,,hyperliquid
BTC,LONG,474.5,73112.0,0.00649,1773650485152,hyperliquid,,,,,,,,,hyperliquid
BTC,LONG,435.89,73136.0,0.00596,1773650481090,hyperliquid,,,,,,,,,hyperliquid
,long,,72873.0,,2026-03-16T08:45:11.290000,hyperliquid,BTC,0.0059,429.95,0x8417efa6...,-5.14,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00541,394.15,0x6f9fa325...,-5.43,,,,
,long,,73069.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00534,390.19,0xed299e2e...,-4.71,,,,
BTC,LONG,390.19,73069.0,0.00534,1773650590115,hyperliquid,,,,,,,,,hyperliquid
BTC,LONG,363.88,72775.6,0.005,1773650483443,bybit,,,,,,,,,
BTC,LONG,351.67,73112.0,0.00481,1773650485152,hyperliquid,,,,,,,,,hyperliquid
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00453,330.04,0xd74a8a50...,-4.24,,,,
