symbol,side,value,price,quantity,timestamp,_exchange,exchange,coin,size,value_usd,address,pnl,order_type,avg_price,order_status
BTC,SHORT,12109.24,73936.0,0.16378,1773632275236,hyperliquid,hyperliquid,,,,,,,,
,short,,73977.0,,2026-03-16T03:38:07.225000,hyperliquid,,BTC,0.1616,11954.68,0x698de2e4...,-151.1,,,
BTC,SHORT,11954.68,73977.0,0.1616,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11924.62,73759.0,0.16167,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11924.04,73760.0,0.16166,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11822.69,73938.0,0.1599,1773632275236,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11745.38,73759.0,0.15924,1773632117997,hyperliquid,hyperliquid,,,,,,,,
,short,,74000.0,,2026-03-16T03:38:31.241000,hyperliquid,,BTC,0.15818,11705.32,0x08138243...,-413.69,,,
BTC,SHORT,11705.32,74000.0,0.15818,1773632311241,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11574.26,73759.0,0.15692,1773632117997,hyperliquid,hyperliquid,,,,,,,,
,short,,73976.0,,2026-03-16T03:38:07.225000,hyperliquid,,BTC,0.15573,11520.28,0x38a8a6f5...,-418.48,,,
BTC,SHORT,11520.28,73976.0,0.15573,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11420.84,73921.3,15.45,1773632275068,okx,,,,,,,,,
BTC,SHORT,11335.72,73882.0,0.15343,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11313.34,73765.0,0.15337,1773632108079,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11264.2,73883.0,0.15246,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11264.05,73882.0,0.15246,1773632242694,hyperliquid,hyperliquid,,,,,,,,
,short,,73977.0,,2026-03-16T03:38:07.225000,hyperliquid,,BTC,0.1522,11259.3,0x95284838...,-138.2,,,
BTC,SHORT,11259.3,73977.0,0.1522,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11176.58,73973.0,0.15109,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11138.27,74255.1,0.15,1773632241443,bybit,,,,,,,,,
BTC,SHORT,11133.75,74225.0,0.15,1773632240459,bybit,,,,,,,,,
BTC,SHORT,11115.48,73759.0,0.1507,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11065.87,74267.6,0.149,1773632242444,bybit,,,,,,,,,
BTC,SHORT,10695.33,73766.0,0.14499,1773632108079,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,10639.01,73882.0,0.144,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,10483.46,74350.8,0.141,1773632294444,bybit,,,,,,,,,
,short,,74000.0,,2026-03-16T03:38:31.241000,hyperliquid,,BTC,0.141,10434.0,0x08138243...,-368.76,,,
BTC,SHORT,10434.0,74000.0,0.141,1773632311241,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,10381.39,74152.8,0.14,1773632111944,bybit,,,,,,,,,
BTC,SHORT,10119.02,73883.0,0.13696,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,10102.77,74285.1,0.136,1773632242444,bybit,,,,,,,,,
BTC,SHORT,10059.03,73958.0,0.13601,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,10048.76,73975.0,0.13584,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,10030.84,73767.0,0.13598,1773632108079,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,9959.59,73950.0,0.13468,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,9885.72,74328.7,0.133,1773632284443,bybit,,,,,,,,,
BTC,SHORT,9826.91,73759.0,0.13323,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,9826.91,73759.0,0.13323,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,9659.4,74303.1,0.13,1773632276443,bybit,,,,,,,,,
BTC,SHORT,9612.76,73950.0,0.12999,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,9612.76,73950.0,0.12999,1773632287225,hyperliquid,hyperliquid,,,,,,,,
