symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,coin,size,value_usd,liquidated_address,liquidator_address
,short,,73476.0,,2026-03-16T12:08:52.989217+00:00,,,,hyperliquid,BTC,0.0041,301.25160000000005,0xa1d22621c9b077ce4ac468908114a82b2de4a8db,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73446.0,,2026-03-16T12:11:51.156352+00:00,,,,hyperliquid,BTC,0.0041,301.1286,0xbb160cb61e694570f9d570f9fcde7c61dd2143ad,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73446.0,,2026-03-16T12:11:53.484432+00:00,,,,hyperliquid,BTC,0.0041,301.1286,0xbb160cb61e694570f9d570f9fcde7c61dd2143ad,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73442.0,,2026-03-16T12:12:20.325245+00:00,,,,hyperliquid,BTC,0.0041,301.11220000000003,0xa3652867632777bd42f12561d28bfd2064a11721,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73442.0,,2026-03-16T12:12:20.362799+00:00,,,,hyperliquid,BTC,0.0041,301.11220000000003,0xa3652867632777bd42f12561d28bfd2064a11721,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73533.0,,2026-03-16T12:10:20.698603+00:00,,,,hyperliquid,BTC,0.00409,300.74997,0xd3943e40080322c21c65d94966d4212331302c92,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73533.0,,2026-03-16T12:10:20.700182+00:00,,,,hyperliquid,BTC,0.00409,300.74997,0xd3943e40080322c21c65d94966d4212331302c92,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73464.0,,2026-03-16T12:07:21.391774+00:00,,,,hyperliquid,BTC,0.00409,300.46776,0xb668858ff53322d5511651a2cd92391eb5d60ee3,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73464.0,,2026-03-16T12:07:21.484196+00:00,,,,hyperliquid,BTC,0.00409,300.46776,0xb668858ff53322d5511651a2cd92391eb5d60ee3,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
BTC,LONG,292.5812,73145.3,0.004,1773663083435,LIMIT,73431.0,FILLED,binance,,,,,
BTC,SHORT,221.4717,73823.9,0.003,1773663044633,LIMIT,73546.4,FILLED,binance,,,,,
,short,,73541.0,,2026-03-16T12:06:52.435599+00:00,,,,hyperliquid,BTC,0.00277,203.70856999999998,0x2688d3ab9d031e11a0bd4c0fc31e35b4274a23f2,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73541.0,,2026-03-16T12:06:52.442065+00:00,,,,hyperliquid,BTC,0.00277,203.70856999999998,0x2688d3ab9d031e11a0bd4c0fc31e35b4274a23f2,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73539.0,,2026-03-16T12:13:22.319788+00:00,,,,hyperliquid,BTC,0.00277,203.70302999999998,0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73539.0,,2026-03-16T12:13:22.330201+00:00,,,,hyperliquid,BTC,0.00277,203.70302999999998,0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73461.0,,2026-03-16T12:08:52.349919+00:00,,,,hyperliquid,BTC,0.00277,203.48696999999999,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73461.0,,2026-03-16T12:08:52.990098+00:00,,,,hyperliquid,BTC,0.00277,203.48696999999999,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73421.0,,2026-03-16T12:11:22.531572+00:00,,,,hyperliquid,BTC,0.00277,203.37617,0x7ca165f354e3260e2f8d5a7508cc9dd2fa009235,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
