symbol,side,value,price,quantity,timestamp,_exchange,exchange,order_type,avg_price,order_status,coin,size,value_usd,liquidated_address,liquidator_address
,short,,71630.0,,2026-03-15T20:36:42.280225+00:00,hyperliquid,,,,,BTC,0.00038,27.2194,0x0ddcec3c593a9f577c888a6c9e56e8b0f5fcd048,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71591.0,,2026-03-15T20:34:10.339814+00:00,hyperliquid,,,,,BTC,0.00038,27.20458,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71591.0,,2026-03-15T20:34:10.604376+00:00,hyperliquid,,,,,BTC,0.00038,27.20458,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,long,,71840.0,,2026-03-15T20:40:27.520981+00:00,hyperliquid,,,,,BTC,0.00025,17.96,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277
,long,,71840.0,,2026-03-15T20:40:27.866449+00:00,hyperliquid,,,,,BTC,0.00025,17.96,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277
,long,,71812.0,,2026-03-15T20:42:27.245394+00:00,hyperliquid,,,,,BTC,0.00025,17.953,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,71812.0,,2026-03-15T20:42:27.421434+00:00,hyperliquid,,,,,BTC,0.00025,17.953,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,71638.0,,2026-03-15T20:36:27.302292+00:00,hyperliquid,,,,,BTC,0.00025,17.9095,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xc8264ebc379e26946e7d31ae4746c27182849755
,long,,71638.0,,2026-03-15T20:36:29.910720+00:00,hyperliquid,,,,,BTC,0.00025,17.9095,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xc8264ebc379e26946e7d31ae4746c27182849755
,long,,71592.0,,2026-03-15T20:34:28.639612+00:00,hyperliquid,,,,,BTC,0.00025,17.898,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x14ecb8b25e270b31cc270e3dd3ee220dd5dce16e
,long,,71592.0,,2026-03-15T20:34:28.909257+00:00,hyperliquid,,,,,BTC,0.00025,17.898,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x14ecb8b25e270b31cc270e3dd3ee220dd5dce16e
,long,,71835.0,,2026-03-15T20:41:56.720799+00:00,hyperliquid,,,,,BTC,0.00024,17.2404,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xce7164b7ba9bc64b5a8624c90def60accfdfb1b6
,long,,71835.0,,2026-03-15T20:41:56.740202+00:00,hyperliquid,,,,,BTC,0.00024,17.2404,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xce7164b7ba9bc64b5a8624c90def60accfdfb1b6
,long,,71822.0,,2026-03-15T20:39:27.168377+00:00,hyperliquid,,,,,BTC,0.00024,17.237280000000002,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x162cc7c861ebd0c06b3d72319201150482518185
,long,,71822.0,,2026-03-15T20:39:29.706198+00:00,hyperliquid,,,,,BTC,0.00024,17.237280000000002,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x162cc7c861ebd0c06b3d72319201150482518185
,long,,71809.0,,2026-03-15T20:39:56.550667+00:00,hyperliquid,,,,,BTC,0.00024,17.23416,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xa6a1140c06c35619038823f58a54f25eb33c29eb
