timestamp,coin,side,size,price,value_usd,address,pnl,_exchange,symbol,value,quantity,exchange,order_type,avg_price,order_status
1773667998944,,SHORT,,74504.3,,,,bybit,BTC,670.54,0.009,,,,
1773667970299,,SHORT,,74077.0,,,,hyperliquid,BTC,625.21,0.00844,hyperliquid,,,
1773667936720,,SHORT,,74045.0,,,,hyperliquid,BTC,577.55,0.0078,hyperliquid,,,
1773667996055,,SHORT,,74419.1,,,,okx,BTC,573.03,0.77,,,,
1773667936720,,SHORT,,74045.0,,,,hyperliquid,BTC,569.41,0.00769,hyperliquid,,,
1773668021025,,SHORT,,74456.2,,,,okx,BTC,565.87,0.76,,,,
1773668011444,,SHORT,,74520.6,,,,bybit,BTC,521.64,0.007,,,,
1773667933444,,SHORT,,74381.1,,,,bybit,BTC,520.67,0.007,,,,
1773667973444,,SHORT,,74124.0,,,,hyperliquid,BTC,484.77,0.00654,hyperliquid,,,
1773667894944,,SHORT,,74305.5,,,,bybit,BTC,445.83,0.006,,,,
1773667936720,,SHORT,,74046.0,,,,hyperliquid,BTC,404.29,0.00546,hyperliquid,,,
1773667998718,,SHORT,,74438.4,,,,okx,BTC,401.97,0.54,,,,
1773667936720,,SHORT,,74045.0,,,,hyperliquid,BTC,375.41,0.00507,hyperliquid,,,
1773667997444,,SHORT,,74501.4,,,,bybit,BTC,372.51,0.005,,,,
1773667934168,,SHORT,,74020.0,,,,hyperliquid,BTC,369.36,0.00499,hyperliquid,,,
1773667936720,,SHORT,,74045.0,,,,hyperliquid,BTC,343.57,0.00464,hyperliquid,,,
2026-03-16T13:34:24.381000,BTC,short,0.00435,74262.0,323.04,0x7669f59c...,-4.15,hyperliquid,,,,,,,
1773667998639,,SHORT,,74164.0,,,,hyperliquid,BTC,316.68,0.00427,hyperliquid,,,
1773668021944,,SHORT,,74531.5,,,,bybit,BTC,298.13,0.004,,,,
1773668002943,,SHORT,,74517.1,,,,bybit,BTC,298.07,0.004,,,,
1773667997444,,SHORT,,74499.6,,,,bybit,BTC,298.0,0.004,,,,
1773667997444,,SHORT,,74501.1,,,,bybit,BTC,298.0,0.004,,,,
1773667937444,,SHORT,,74419.3,,,,bybit,BTC,297.68,0.004,,,,
1773667998639,,SHORT,,74164.0,,,,hyperliquid,BTC,297.4,0.00401,hyperliquid,,,
1773667998639,,SHORT,,74164.0,,,,hyperliquid,BTC,289.98,0.00391,hyperliquid,,,
2026-03-16T13:34:40.930000,BTC,short,0.0039,74255.0,289.59,0xb8259223...,-3.35,hyperliquid,,,,,,,
1773667970299,,SHORT,,74077.0,,,,hyperliquid,BTC,282.23,0.00381,hyperliquid,,,
2026-03-16T13:34:21.419000,BTC,short,0.00327,74192.0,242.61,0x41d62cca...,-2.79,hyperliquid,,,,,,,
1773667973444,,SHORT,,74124.0,,,,hyperliquid,BTC,234.23,0.00316,hyperliquid,,,
1773667936720,,SHORT,,74045.0,,,,hyperliquid,BTC,224.36,0.00303,hyperliquid,,,
1773667996444,,SHORT,,74488.4,,,,bybit,BTC,223.47,0.003,,,,
1773668059044,,SHORT,,74473.8,,,,okx,BTC,193.63,0.26,,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,177.04,0.00239,hyperliquid,,,
2026-03-16T13:34:40.930000,BTC,short,0.00232,74255.0,172.27,0xc0f1b4f8...,-2.03,hyperliquid,,,,,,,
1773667935610,,SHORT,,74325.3,,,,okx,BTC,156.08,0.21,,,,
1773667999944,,SHORT,,74508.0,,,,bybit,BTC,149.02,0.002,,,,
1773667999444,,SHORT,,74508.3,,,,bybit,BTC,149.02,0.002,,,,
1773667996444,,SHORT,,74495.9,,,,bybit,BTC,148.99,0.002,,,,
1773667976446,,SHORT,,74487.5,,,,bybit,BTC,148.97,0.002,,,,
1773667972944,,SHORT,,74471.7,,,,bybit,BTC,148.94,0.002,,,,
1773667973444,,SHORT,,74458.4,,,,bybit,BTC,148.92,0.002,,,,
1773667970299,,SHORT,,74077.0,,,,hyperliquid,BTC,148.15,0.002,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,129.63,0.00175,hyperliquid,,,
1773667971777,,SHORT,,74367.2,,,,okx,BTC,111.55,0.15,,,,
2026-03-16T13:34:40.930000,BTC,short,0.0015,74257.0,111.39,0xe4292138...,-0.94,hyperliquid,,,,,,,
2026-03-16T13:34:40.930000,BTC,short,0.0015,74256.0,111.38,0xe4292138...,-0.94,hyperliquid,,,,,,,
1773667934155,,SHORT,,74322.8,,,,okx,BTC,96.62,0.13,,,,
1773667948353,,SHORT,,74028.9,,,,okx,BTC,96.24,0.13,,,,
2026-03-16T13:34:28.570000,BTC,short,0.00127,74244.0,94.29,0xa734e65a...,-1.09,hyperliquid,,,,,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,86.67,0.00117,hyperliquid,,,
1773668022117,,SHORT,,74462.6,,,,okx,BTC,81.91,0.11,,,,
1773667998639,,SHORT,,74164.0,,,,hyperliquid,BTC,78.61,0.00106,hyperliquid,,,
1773667999944,,SHORT,,74514.0,,,,bybit,BTC,74.51,0.001,,,,
1773667998944,,SHORT,,74506.6,,,,bybit,BTC,74.51,0.001,,,,
1773667998943,,SHORT,,74505.9,,,,bybit,BTC,74.51,0.001,,,,
1773667997444,,SHORT,,74501.2,,,,bybit,BTC,74.5,0.001,,,,
1773667997444,,SHORT,,74500.3,,,,bybit,BTC,74.5,0.001,,,,
1773667996444,,SHORT,,74498.1,,,,bybit,BTC,74.5,0.001,,,,
1773667996444,,SHORT,,74488.2,,,,bybit,BTC,74.49,0.001,,,,
1773667975944,,SHORT,,74485.9,,,,bybit,BTC,74.49,0.001,,,,
1773667976446,,SHORT,,74484.6,,,,bybit,BTC,74.48,0.001,,,,
1773667973444,,SHORT,,74479.8,,,,bybit,BTC,74.48,0.001,,,,
1773667973444,,SHORT,,74477.0,,,,bybit,BTC,74.48,0.001,,,,
1773667973444,,SHORT,,74464.5,,,,bybit,BTC,74.46,0.001,,,,
1773667973444,,SHORT,,74460.0,,,,bybit,BTC,74.46,0.001,,,,
1773667973944,,SHORT,,74447.1,,,,bybit,BTC,74.45,0.001,,,,
1773667972944,,SHORT,,74452.3,,,,bybit,BTC,74.45,0.001,,,,
1773667936444,,SHORT,,74398.2,,,,bybit,BTC,74.4,0.001,,,,
1773667933444,,SHORT,,74378.6,,,,bybit,BTC,74.38,0.001,,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,69.63,0.00094,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,67.41,0.00091,hyperliquid,,,
1773668020069,,SHORT,,74450.3,,,,okx,BTC,52.12,0.07,,,,
2026-03-16T13:34:28.570000,BTC,short,0.00068,74244.0,50.49,0xa34d9d4f...,-0.6,hyperliquid,,,,,,,
1773667998639,,SHORT,,74164.0,,,,hyperliquid,BTC,47.46,0.00064,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,45.93,0.00062,hyperliquid,,,
1773667995891,,SHORT,,74414.9,,,,okx,BTC,44.65,0.06,,,,
2026-03-16T13:34:28.570000,BTC,short,0.00058,74244.0,43.06,0x2b189c21...,-0.51,hyperliquid,,,,,,,
2026-03-16T13:34:06.605000,BTC,short,0.00051,74172.0,37.83,0x0d230bd7...,-0.43,hyperliquid,,,,,,,
1773668046605,,SHORT,,74172.0,,,,hyperliquid,BTC,37.83,0.00051,hyperliquid,,,
1773668058910,,SHORT,,74472.2,,,,okx,BTC,37.24,0.05,,,,
1773667969222,,SHORT,,74054.1,,,,okx,BTC,37.03,0.05,,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,34.07,0.00046,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,33.33,0.00045,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,33.33,0.00045,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,30.37,0.00041,hyperliquid,,,
1773667870345,,SHORT,,73927.9,,,,okx,BTC,29.57,0.04,,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,28.15,0.00038,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,27.41,0.00037,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,26.67,0.00036,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,25.19,0.00034,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,24.45,0.00033,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,22.96,0.00031,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,22.22,0.0003,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,22.22,0.0003,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,19.26,0.00026,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,18.52,0.00025,hyperliquid,,,
1773667936720,,SHORT,,74045.0,,,,hyperliquid,BTC,18.51,0.00025,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,17.04,0.00023,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,16.3,0.00022,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,16.3,0.00022,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,14.82,0.0002,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,14.82,0.0002,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,14.82,0.0002,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,14.07,0.00019,hyperliquid,,,
2026-03-16T13:34:40.930000,BTC,short,0.00017,74258.0,12.62,0xe4292138...,-0.11,hyperliquid,,,,,,,
2026-03-16T13:34:40.930000,BTC,short,0.00017,74257.0,12.62,0xe4292138...,-0.11,hyperliquid,,,,,,,
2026-03-16T13:34:40.930000,BTC,short,0.00017,74256.0,12.62,0xe4292138...,-0.11,hyperliquid,,,,,,,
2026-03-16T13:34:18.338000,BTC,short,0.00017,74185.0,12.61,0x75813b81...,-0.14,hyperliquid,,,,,,,
2026-03-16T13:34:18.338000,BTC,short,0.00017,74184.0,12.61,0x75813b81...,-0.14,hyperliquid,,,,,,,
1773667970299,,SHORT,,74077.0,,,,hyperliquid,BTC,11.85,0.00016,hyperliquid,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,11.85,0.00016,hyperliquid,,,
2026-03-16T13:34:18.338000,BTC,short,0.00015,74184.0,11.13,0x75813b81...,-0.13,hyperliquid,,,,,,,
2026-03-16T13:34:40.930000,BTC,short,0.00014,74256.0,10.4,0xe4292138...,-0.09,hyperliquid,,,,,,,
2026-03-16T13:34:18.338000,BTC,short,0.00014,74184.0,10.39,0x75813b81...,-0.12,hyperliquid,,,,,,,
2026-03-16T13:34:18.338000,BTC,short,0.00014,74183.0,10.39,0x75813b81...,-0.12,hyperliquid,,,,,,,
1773667934168,,SHORT,,74020.0,,,,hyperliquid,BTC,1.48,2e-05,hyperliquid,,,
