symbol,side,value,price,quantity,timestamp,_exchange,exchange,coin,size,value_usd,liquidated_address,liquidator_address
,short,,73421.0,,2026-03-16T12:11:22.531572+00:00,hyperliquid,,BTC,0.00277,203.37617,0x7ca165f354e3260e2f8d5a7508cc9dd2fa009235,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73421.0,,2026-03-16T12:11:22.533498+00:00,hyperliquid,,BTC,0.00277,203.37617,0x7ca165f354e3260e2f8d5a7508cc9dd2fa009235,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73644.0,,2026-03-16T12:18:52.576195+00:00,hyperliquid,,BTC,0.00276,203.25744,0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73644.0,,2026-03-16T12:18:52.585189+00:00,hyperliquid,,BTC,0.00276,203.25744,0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73603.0,,2026-03-16T12:18:22.305493+00:00,hyperliquid,,BTC,0.00276,203.14427999999998,0x9266865bb6afb4c4f618544dd3b8c970f17aa664,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73603.0,,2026-03-16T12:18:22.313279+00:00,hyperliquid,,BTC,0.00276,203.14427999999998,0x9266865bb6afb4c4f618544dd3b8c970f17aa664,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73553.0,,2026-03-16T12:14:52.458153+00:00,hyperliquid,,BTC,0.00276,203.00628,0xfeee942a06d2f8012823ccde7bf7bcbcaa29a09f,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73553.0,,2026-03-16T12:14:52.465108+00:00,hyperliquid,,BTC,0.00276,203.00628,0xfeee942a06d2f8012823ccde7bf7bcbcaa29a09f,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73551.0,,2026-03-16T12:14:22.478624+00:00,hyperliquid,,BTC,0.00276,203.00075999999999,0x1a0629baea82122dea0178cc1a24297e552d0585,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73551.0,,2026-03-16T12:14:22.638511+00:00,hyperliquid,,BTC,0.00276,203.00075999999999,0x1a0629baea82122dea0178cc1a24297e552d0585,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73549.0,,2026-03-16T12:13:52.383876+00:00,hyperliquid,,BTC,0.00276,202.99524,0x50d59f4c2480e107acf32c0d1e9cbe7579b01480,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73549.0,,2026-03-16T12:13:52.612242+00:00,hyperliquid,,BTC,0.00276,202.99524,0x50d59f4c2480e107acf32c0d1e9cbe7579b01480,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73508.0,,2026-03-16T12:15:52.468224+00:00,hyperliquid,,BTC,0.00276,202.88208,0x8f63c88fccae90c1f9eb8b447f830bce7b71dd74,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73508.0,,2026-03-16T12:15:52.505193+00:00,hyperliquid,,BTC,0.00276,202.88208,0x8f63c88fccae90c1f9eb8b447f830bce7b71dd74,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73484.0,,2026-03-16T12:12:52.498655+00:00,hyperliquid,,BTC,0.00276,202.81583999999998,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73484.0,,2026-03-16T12:12:52.498794+00:00,hyperliquid,,BTC,0.00276,202.81583999999998,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73474.0,,2026-03-16T12:17:52.453188+00:00,hyperliquid,,BTC,0.00276,202.78824,0xf8c5362479968e9b9643c9f3b93fbaf3db008acd,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73474.0,,2026-03-16T12:17:52.466517+00:00,hyperliquid,,BTC,0.00276,202.78824,0xf8c5362479968e9b9643c9f3b93fbaf3db008acd,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73473.0,,2026-03-16T12:16:52.423068+00:00,hyperliquid,,BTC,0.00276,202.78547999999998,0x13558be785661958932ceac35ba20de187275a42,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73473.0,,2026-03-16T12:16:52.423432+00:00,hyperliquid,,BTC,0.00276,202.78547999999998,0x13558be785661958932ceac35ba20de187275a42,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73461.0,,2026-03-16T12:16:22.325089+00:00,hyperliquid,,BTC,0.00276,202.75235999999998,0x3ff54fd26855db3758d0b5ae7aed47440c47f705,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73461.0,,2026-03-16T12:16:22.332964+00:00,hyperliquid,,BTC,0.00276,202.75235999999998,0x3ff54fd26855db3758d0b5ae7aed47440c47f705,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73452.0,,2026-03-16T12:11:52.470601+00:00,hyperliquid,,BTC,0.00276,202.72752,0xb3a38662575bdf1541013ce987934dba919851ea,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73452.0,,2026-03-16T12:11:53.485460+00:00,hyperliquid,,BTC,0.00276,202.72752,0xb3a38662575bdf1541013ce987934dba919851ea,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73445.0,,2026-03-16T12:12:22.458517+00:00,hyperliquid,,BTC,0.00276,202.70819999999998,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73445.0,,2026-03-16T12:12:22.462351+00:00,hyperliquid,,BTC,0.00276,202.70819999999998,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73653.0,,2026-03-16T12:19:24.536581+00:00,hyperliquid,,BTC,0.0026,191.49779999999998,0x023a3d058020fb76cca98f01b3c48c8938a22355,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73653.0,,2026-03-16T12:19:24.546543+00:00,hyperliquid,,BTC,0.0026,191.49779999999998,0x023a3d058020fb76cca98f01b3c48c8938a22355,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73457.0,,2026-03-16T12:17:23.277543+00:00,hyperliquid,,BTC,0.0026,190.98819999999998,0x023a3d058020fb76cca98f01b3c48c8938a22355,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73457.0,,2026-03-16T12:17:23.356545+00:00,hyperliquid,,BTC,0.0026,190.98819999999998,0x023a3d058020fb76cca98f01b3c48c8938a22355,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73638.0,,2026-03-16T12:19:52.941947+00:00,hyperliquid,,BTC,0.00259,190.72242,0x31dea2516beee92135b96f464eeec3cf292a13f2,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73638.0,,2026-03-16T12:19:53.147641+00:00,hyperliquid,,BTC,0.00259,190.72242,0x31dea2516beee92135b96f464eeec3cf292a13f2,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,long,,73467.0,,2026-03-16T12:11:15.426395+00:00,hyperliquid,,BTC,0.00191,140.32197,0xa262f79bf430edeb62d393bdc0b499f260000000,0xce7164b7ba9bc64b5a8624c90def60accfdfb1b6
,long,,73467.0,,2026-03-16T12:11:15.429178+00:00,hyperliquid,,BTC,0.00191,140.32197,0xa262f79bf430edeb62d393bdc0b499f260000000,0xce7164b7ba9bc64b5a8624c90def60accfdfb1b6
,short,,73437.0,,2026-03-16T12:11:19.923241+00:00,hyperliquid,,BTC,0.0015,110.1555,0xed7c45acfd7d2d3b21f3039d86e1da540596d23a,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73437.0,,2026-03-16T12:11:19.927986+00:00,hyperliquid,,BTC,0.0015,110.1555,0xed7c45acfd7d2d3b21f3039d86e1da540596d23a,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73468.0,,2026-03-16T12:16:09.468882+00:00,hyperliquid,,BTC,0.00146,107.26328,0x023a3d058020fb76cca98f01b3c48c8938a22355,0x69523edb8337e624ea97a0c097ac5d3dede8e3d5
,short,,73468.0,,2026-03-16T12:16:09.480051+00:00,hyperliquid,,BTC,0.00146,107.26328,0x023a3d058020fb76cca98f01b3c48c8938a22355,0x69523edb8337e624ea97a0c097ac5d3dede8e3d5
,short,,73435.0,,2026-03-16T12:11:19.924391+00:00,hyperliquid,,BTC,0.00118,86.6533,0xb44a3c6e12e1a6933aed67ea61c520151ce01756,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
