symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,liquidated_address,liquidator_address,order_type,avg_price,order_status
,long,,72488.0,,2026-03-16T00:42:24.513639+00:00,hyperliquid,BTC,0.00578,418.98064000000005,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x2dde8c9b7fd681b0af29975e6e2e7ca2c934958c,,,
,long,,72638.0,,2026-03-16T00:36:24.949659+00:00,hyperliquid,BTC,0.00572,415.48936000000003,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x588432f54227364caf999a6df88dbf86a90f4772,,,
,long,,72638.0,,2026-03-16T00:36:24.955434+00:00,hyperliquid,BTC,0.00572,415.48936000000003,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x588432f54227364caf999a6df88dbf86a90f4772,,,
,long,,72552.0,,2026-03-16T00:39:24.837782+00:00,hyperliquid,BTC,0.00558,404.84015999999997,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x56811550b50c940db1f8acfc3341e7a6101660eb,,,
,long,,72552.0,,2026-03-16T00:39:25.043361+00:00,hyperliquid,BTC,0.00558,404.84015999999997,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x56811550b50c940db1f8acfc3341e7a6101660eb,,,
,long,,72503.0,,2026-03-16T00:44:25.012541+00:00,hyperliquid,BTC,0.00552,400.21655999999996,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xb3a38662575bdf1541013ce987934dba919851ea,,,
,long,,72503.0,,2026-03-16T00:44:25.550333+00:00,hyperliquid,BTC,0.00552,400.21655999999996,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xb3a38662575bdf1541013ce987934dba919851ea,,,
,long,,72511.0,,2026-03-16T00:43:55.862989+00:00,hyperliquid,BTC,0.00533,386.48362999999995,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xc977566f8ef21a8fc2438e458d51626067b6515c,,,
,long,,72511.0,,2026-03-16T00:43:56.431133+00:00,hyperliquid,BTC,0.00533,386.48362999999995,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xc977566f8ef21a8fc2438e458d51626067b6515c,,,
,long,,72609.0,,2026-03-16T00:35:30.440264+00:00,hyperliquid,BTC,0.00529,384.10161000000005,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0xe92cdf7b804a836a71219cda2b00274d57ac030f,,,
