symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,coin,size,value_usd,address,pnl,exchange
BTC,LONG,361.86,73250.0,0.00494,1773671444026,,,,hyperliquid,,,,,,hyperliquid
,long,,73308.0,,2026-03-16T14:30:27.526000,,,,hyperliquid,BTC,0.00339,248.51,0xd3f8e645...,-3.42,
,long,,73250.0,,2026-03-16T14:30:44.026000,,,,hyperliquid,BTC,0.00326,238.79,0x10f320b5...,-2.89,
BTC,LONG,238.79,73250.0,0.00326,1773671444026,,,,hyperliquid,,,,,,hyperliquid
,long,,73309.0,,2026-03-16T14:30:27.526000,,,,hyperliquid,BTC,0.0032,234.59,0xd3f8e645...,-3.23,
BTC,SHORT,221.28,73761.37,0.003,1773671548478,,,,binance,,,,,,binance
BTC,LONG,218.8521,72950.7,0.003,1773671457268,LIMIT,73240.4,FILLED,binance,,,,,,
BTC,LONG,218.85,72950.7,0.003,1773671457268,,,,binance,,,,,,binance
,long,,73252.0,,2026-03-16T14:30:48.307000,,,,hyperliquid,BTC,0.0027,197.78,0x61b29ac8...,-2.42,
BTC,LONG,197.78,73252.0,0.0027,1773671448307,,,,hyperliquid,,,,,,hyperliquid
BTC,LONG,160.5,72954.7,0.22,1773671440434,,,,okx,,,,,,
BTC,LONG,131.28,72934.5,0.18,1773671441013,,,,okx,,,,,,
,long,,73310.0,,2026-03-16T14:30:27.526000,,,,hyperliquid,BTC,0.00166,121.69,0xd2ca4be8...,-0.05,
,long,,73279.0,,2026-03-16T14:30:30.918000,,,,hyperliquid,BTC,0.00162,118.71,0x5c8f6f9c...,-1.48,
,long,,73279.0,,2026-03-16T14:30:30.918000,,,,hyperliquid,BTC,0.00136,99.66,0x6992ce22...,-1.29,
,long,,73309.0,,2026-03-16T14:30:27.526000,,,,hyperliquid,BTC,0.001,73.31,0xd3f8e645...,-1.01,
BTC,LONG,72.91,72906.7,0.001,1773671439444,,,,bybit,,,,,,
BTC,LONG,72.9,72898.7,0.001,1773671439444,,,,bybit,,,,,,
,long,,73310.0,,2026-03-16T14:30:27.526000,,,,hyperliquid,BTC,0.00068,49.85,0xd2ca4be8...,-0.02,
BTC,LONG,43.79,72987.1,0.06,1773671438627,,,,okx,,,,,,
,long,,73279.0,,2026-03-16T14:30:30.918000,,,,hyperliquid,BTC,0.00053,38.84,0x852841ee...,-0.47,
,long,,73308.0,,2026-03-16T14:30:27.526000,,,,hyperliquid,BTC,0.00046,33.72,0xd3f8e645...,-0.46,
,long,,73279.0,,2026-03-16T14:30:30.918000,,,,hyperliquid,BTC,0.00044,32.24,0xb09ae1e5...,-0.4,
,long,,73252.0,,2026-03-16T14:30:48.307000,,,,hyperliquid,BTC,0.00044,32.23,0x7564cf5d...,-0.38,
BTC,LONG,32.23,73252.0,0.00044,1773671448307,,,,hyperliquid,,,,,,hyperliquid
,long,,73307.0,,2026-03-16T14:30:27.526000,,,,hyperliquid,BTC,0.00015,11.0,0xd3f8e645...,-0.15,
