symbol,side,value,price,quantity,timestamp,_exchange,exchange,coin,size,value_usd,liquidated_address,liquidator_address,order_type,avg_price,order_status
,short,,73547.0,,2026-03-16T12:03:22.421310+00:00,hyperliquid,,BTC,0.00276,202.98971999999998,0x162cc7c861ebd0c06b3d72319201150482518185,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73547.0,,2026-03-16T12:03:22.441123+00:00,hyperliquid,,BTC,0.00276,202.98971999999998,0x162cc7c861ebd0c06b3d72319201150482518185,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73543.0,,2026-03-16T12:01:22.353594+00:00,hyperliquid,,BTC,0.00276,202.97868,0xb3a38662575bdf1541013ce987934dba919851ea,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73543.0,,2026-03-16T12:01:23.265638+00:00,hyperliquid,,BTC,0.00276,202.97868,0xb3a38662575bdf1541013ce987934dba919851ea,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73532.0,,2026-03-16T11:56:22.488346+00:00,hyperliquid,,BTC,0.00276,202.94832,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73532.0,,2026-03-16T11:56:23.255493+00:00,hyperliquid,,BTC,0.00276,202.94832,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73527.0,,2026-03-16T11:55:52.408320+00:00,hyperliquid,,BTC,0.00276,202.93452,0x47a127f496d001f187ac65fc24852274dc51d080,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73527.0,,2026-03-16T11:55:52.434616+00:00,hyperliquid,,BTC,0.00276,202.93452,0x47a127f496d001f187ac65fc24852274dc51d080,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73527.0,,2026-03-16T11:58:22.262266+00:00,hyperliquid,,BTC,0.00276,202.93452,0x47a127f496d001f187ac65fc24852274dc51d080,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73527.0,,2026-03-16T11:58:23.400034+00:00,hyperliquid,,BTC,0.00276,202.93452,0x47a127f496d001f187ac65fc24852274dc51d080,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73527.0,,2026-03-16T11:59:22.474948+00:00,hyperliquid,,BTC,0.00276,202.93452,0x08b0d04a3771d0302d5a8ef4c728ebe5c63b4974,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73527.0,,2026-03-16T11:59:22.480230+00:00,hyperliquid,,BTC,0.00276,202.93452,0x08b0d04a3771d0302d5a8ef4c728ebe5c63b4974,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73524.0,,2026-03-16T12:00:22.383886+00:00,hyperliquid,,BTC,0.00276,202.92623999999998,0x2cffce91b4e0c81df18726ff66b31b2b1545e1ad,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73524.0,,2026-03-16T12:00:22.385241+00:00,hyperliquid,,BTC,0.00276,202.92623999999998,0x2cffce91b4e0c81df18726ff66b31b2b1545e1ad,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73511.0,,2026-03-16T11:55:22.344400+00:00,hyperliquid,,BTC,0.00276,202.89036,0x7e698eea0709e4a0dbbd790fc493d60691801157,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73511.0,,2026-03-16T11:55:22.349052+00:00,hyperliquid,,BTC,0.00276,202.89036,0x7e698eea0709e4a0dbbd790fc493d60691801157,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73507.0,,2026-03-16T11:59:52.427476+00:00,hyperliquid,,BTC,0.00276,202.87931999999998,0x7e698eea0709e4a0dbbd790fc493d60691801157,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73507.0,,2026-03-16T11:59:52.460553+00:00,hyperliquid,,BTC,0.00276,202.87931999999998,0x7e698eea0709e4a0dbbd790fc493d60691801157,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73584.0,,2026-03-16T12:03:49.401908+00:00,hyperliquid,,BTC,0.00237,174.39408,0x7b7f72a28fe109fa703eeed7984f2a8a68fedee2,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73584.0,,2026-03-16T12:03:49.430620+00:00,hyperliquid,,BTC,0.00237,174.39408,0x7b7f72a28fe109fa703eeed7984f2a8a68fedee2,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73579.0,,2026-03-16T12:01:53.026650+00:00,hyperliquid,,BTC,0.00231,169.96749,0x31ca8395cf837de08b24da3f660e77761dfb974b,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73579.0,,2026-03-16T12:01:53.029121+00:00,hyperliquid,,BTC,0.00231,169.96749,0x31ca8395cf837de08b24da3f660e77761dfb974b,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
BTC,SHORT,148.15,74077.0,0.002,1773662641471,bybit,,,,,,,,,
