timestamp,coin,side,size,price,value_usd,address,pnl,_exchange,exchange,symbol,value,quantity,order_type,avg_price,order_status
2026-03-16T12:30:46.863000,BTC,short,0.00017,73890.0,12.56,0xe817faf8...,-0.15,hyperliquid,,,,,,,
2026-03-16T12:30:46.863000,BTC,short,0.00017,73889.0,12.56,0xe817faf8...,-0.15,hyperliquid,,,,,,,
2026-03-16T12:30:46.863000,BTC,short,0.00017,73888.0,12.56,0xe817faf8...,-0.15,hyperliquid,,,,,,,
2026-03-16T12:30:46.863000,BTC,short,0.00017,73887.0,12.56,0xe817faf8...,-0.15,hyperliquid,,,,,,,
2026-03-16T12:30:46.863000,BTC,short,0.00017,73886.0,12.56,0xe817faf8...,-0.15,hyperliquid,,,,,,,
2026-03-16T12:30:46.863000,BTC,short,0.00017,73885.0,12.56,0xe817faf8...,-0.15,hyperliquid,,,,,,,
2026-03-16T12:27:22.331000,BTC,short,0.00017,73850.0,12.55,0xe4292138...,-0.04,hyperliquid,,,,,,,
2026-03-16T12:27:22.331000,BTC,short,0.00017,73849.0,12.55,0xe4292138...,-0.04,hyperliquid,,,,,,,
2026-03-16T12:27:22.331000,BTC,short,0.00017,73848.0,12.55,0xe4292138...,-0.04,hyperliquid,,,,,,,
1773664042331,,SHORT,,73850.0,,,,hyperliquid,hyperliquid,BTC,12.55,0.00017,,,
1773664042331,,SHORT,,73849.0,,,,hyperliquid,hyperliquid,BTC,12.55,0.00017,,,
1773664042331,,SHORT,,73848.0,,,,hyperliquid,hyperliquid,BTC,12.55,0.00017,,,
2026-03-16T12:30:46.863000,BTC,short,0.00015,73891.0,11.08,0xe817faf8...,-0.13,hyperliquid,,,,,,,
2026-03-16T12:30:46.863000,BTC,short,0.00015,73887.0,11.08,0xe817faf8...,-0.13,hyperliquid,,,,,,,
2026-03-16T12:30:43.888000,BTC,short,0.00015,73884.0,11.08,0xfef13e10...,-0.13,hyperliquid,,,,,,,
2026-03-16T12:30:43.888000,BTC,short,0.00015,73879.0,11.08,0xfef13e10...,-0.13,hyperliquid,,,,,,,
2026-03-16T12:30:43.888000,BTC,short,0.00015,73878.0,11.08,0xfef13e10...,-0.13,hyperliquid,,,,,,,
2026-03-16T12:30:43.888000,BTC,short,0.00015,73873.0,11.08,0xfef13e10...,-0.13,hyperliquid,,,,,,,
2026-03-16T12:27:22.331000,BTC,short,0.00015,73849.0,11.08,0xe4292138...,-0.03,hyperliquid,,,,,,,
1773664042331,,SHORT,,73849.0,,,,hyperliquid,hyperliquid,BTC,11.08,0.00015,,,
1773664042331,,SHORT,,73848.0,,,,hyperliquid,hyperliquid,BTC,11.08,0.00015,,,
