exchange,symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,liquidated_address,liquidator_address
,,short,,72028.0,,2026-03-15T21:53:14.386568+00:00,hyperliquid,BTC,0.00209,150.53851999999998,0xd58947a95d21fb0438461f610b1cc20a5826aee8,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
,,short,,72028.0,,2026-03-15T21:53:16.127062+00:00,hyperliquid,BTC,0.00209,150.53851999999998,0xd58947a95d21fb0438461f610b1cc20a5826aee8,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
,,short,,72022.0,,2026-03-15T21:55:44.357567+00:00,hyperliquid,BTC,0.00209,150.52597999999998,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
,,short,,72022.0,,2026-03-15T21:55:44.445287+00:00,hyperliquid,BTC,0.00209,150.52597999999998,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
,,short,,72021.0,,2026-03-15T21:57:14.357945+00:00,hyperliquid,BTC,0.00209,150.52389,0xe29d84a6f37858d7f8017be454ee35726511e525,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
,,short,,72021.0,,2026-03-15T21:57:15.002686+00:00,hyperliquid,BTC,0.00209,150.52389,0xe29d84a6f37858d7f8017be454ee35726511e525,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
,,short,,72010.0,,2026-03-15T21:54:44.284364+00:00,hyperliquid,BTC,0.00209,150.5009,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
,,short,,72010.0,,2026-03-15T21:54:44.376260+00:00,hyperliquid,BTC,0.00209,150.5009,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
,,short,,72000.0,,2026-03-15T21:53:44.297521+00:00,hyperliquid,BTC,0.00209,150.48,0x5c7e61a6613d1f69abf8f81c095f7c3e943e3755,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
,,short,,72000.0,,2026-03-15T21:53:44.963634+00:00,hyperliquid,BTC,0.00209,150.48,0x5c7e61a6613d1f69abf8f81c095f7c3e943e3755,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
