timestamp,coin,side,size,price,value_usd,liquidated_address,liquidator_address,_exchange
2026-03-15T14:14:23.452407+00:00,BTC,short,0.00097,71533.0,69.38701,0xb3a38662575bdf1541013ce987934dba919851ea,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:14:23.530771+00:00,BTC,short,0.00097,71533.0,69.38701,0xb3a38662575bdf1541013ce987934dba919851ea,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:16:23.541943+00:00,BTC,short,0.00097,71487.0,69.34239000000001,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:16:23.611634+00:00,BTC,short,0.00097,71487.0,69.34239000000001,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:17:53.413151+00:00,BTC,short,0.00096,71459.0,68.60064,0x4f965bea84add66023e7ef0458111a1a80e50bb7,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:17:54.821010+00:00,BTC,short,0.00096,71459.0,68.60064,0x4f965bea84add66023e7ef0458111a1a80e50bb7,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:10:53.415653+00:00,BTC,short,0.00095,71574.0,67.9953,0xb3a38662575bdf1541013ce987934dba919851ea,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:10:55.128312+00:00,BTC,short,0.00095,71574.0,67.9953,0xb3a38662575bdf1541013ce987934dba919851ea,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:12:23.535262+00:00,BTC,short,0.00095,71526.0,67.94969999999999,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:12:23.565074+00:00,BTC,short,0.00095,71526.0,67.94969999999999,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:19:23.442724+00:00,BTC,short,0.00095,71433.0,67.86135,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:19:23.445623+00:00,BTC,short,0.00095,71433.0,67.86135,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:11:23.403746+00:00,BTC,short,0.00083,71579.0,59.41057,0xf9109ada2f73c62e9889b45453065f0d99260a2d,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:11:24.820766+00:00,BTC,short,0.00083,71579.0,59.41057,0xf9109ada2f73c62e9889b45453065f0d99260a2d,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:10:24.125237+00:00,BTC,short,0.00083,71551.0,59.38733,0xf9109ada2f73c62e9889b45453065f0d99260a2d,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:10:24.159394+00:00,BTC,short,0.00083,71551.0,59.38733,0xf9109ada2f73c62e9889b45453065f0d99260a2d,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:12:54.117007+00:00,BTC,short,0.00079,71526.0,56.50554,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:12:54.144281+00:00,BTC,short,0.00079,71526.0,56.50554,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:15:53.704697+00:00,BTC,short,0.00079,71487.0,56.47473,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:15:54.088190+00:00,BTC,short,0.00079,71487.0,56.47473,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:14:53.396141+00:00,BTC,short,0.00078,71545.0,55.805099999999996,0x48b5c751c2d63ac9134ce31f8d3e08b6836f6ee0,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:14:53.433888+00:00,BTC,short,0.00078,71545.0,55.805099999999996,0x48b5c751c2d63ac9134ce31f8d3e08b6836f6ee0,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
2026-03-15T14:13:23.323754+00:00,BTC,short,0.00075,71525.0,53.643750000000004,0xf9109ada2f73c62e9889b45453065f0d99260a2d,0x266d7383cc3ef064ff2a7d65625c015cf610e8f0,hyperliquid
