symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,exchange,coin,size,value_usd,liquidated_address,liquidator_address
,long,,71779.0,,2026-03-15T22:18:51.366029+00:00,,,,hyperliquid,,BTC,0.00991,711.32989,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xe3b3482482899b4890ec5a2093cba2a558d0c14f
,long,,71779.0,,2026-03-15T22:18:51.420951+00:00,,,,hyperliquid,,BTC,0.00991,711.32989,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xe3b3482482899b4890ec5a2093cba2a558d0c14f
,long,,71763.0,,2026-03-15T22:20:23.020263+00:00,,,,hyperliquid,,BTC,0.00991,711.17133,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,71763.0,,2026-03-15T22:20:23.026705+00:00,,,,hyperliquid,,BTC,0.00991,711.17133,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,71810.0,,2026-03-15T22:20:53.005468+00:00,,,,hyperliquid,,BTC,0.00925,664.2425,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x3ff54fd26855db3758d0b5ae7aed47440c47f705
,long,,71810.0,,2026-03-15T22:20:54.455195+00:00,,,,hyperliquid,,BTC,0.00925,664.2425,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x3ff54fd26855db3758d0b5ae7aed47440c47f705
,long,,71708.0,,2026-03-15T22:16:53.200939+00:00,,,,hyperliquid,,BTC,0.00924,662.58192,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xa9b91ec3cd32ba4e5841b2bf6ec5d2c222e60243
,long,,71708.0,,2026-03-15T22:16:53.788703+00:00,,,,hyperliquid,,BTC,0.00924,662.58192,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xa9b91ec3cd32ba4e5841b2bf6ec5d2c222e60243
,long,,71887.0,,2026-03-15T22:25:22.621269+00:00,,,,hyperliquid,,BTC,0.00911,654.89057,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x31dea2516beee92135b96f464eeec3cf292a13f2
,long,,71887.0,,2026-03-15T22:25:22.651094+00:00,,,,hyperliquid,,BTC,0.00911,654.89057,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x31dea2516beee92135b96f464eeec3cf292a13f2
,long,,71839.0,,2026-03-15T22:24:22.366548+00:00,,,,hyperliquid,,BTC,0.00633,454.74087,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,71839.0,,2026-03-15T22:24:24.450414+00:00,,,,hyperliquid,,BTC,0.00633,454.74087,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,71836.0,,2026-03-15T22:24:22.364687+00:00,,,,hyperliquid,,BTC,0.0029,208.3244,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x31dea2516beee92135b96f464eeec3cf292a13f2
,long,,71836.0,,2026-03-15T22:24:24.444585+00:00,,,,hyperliquid,,BTC,0.0029,208.3244,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x31dea2516beee92135b96f464eeec3cf292a13f2
,short,,71927.0,,2026-03-15T22:25:49.568954+00:00,,,,hyperliquid,,BTC,0.00249,179.09823,0x50d59f4c2480e107acf32c0d1e9cbe7579b01480,0xe8e715d222e9684bca78723d12b84f16a3e354c3
