symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,liquidated_address,liquidator_address,exchange,order_type,avg_price,order_status
,long,,73324.0,,2026-03-16T10:06:46.902896+00:00,hyperliquid,BTC,0.02266,1661.5218399999999,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0xadc9cf23f55c6221a05a8150e5768d7c3289562f,,,,
,long,,73366.0,,2026-03-16T10:05:44.429580+00:00,hyperliquid,BTC,0.02247,1648.53402,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,,,,
,long,,73366.0,,2026-03-16T10:05:44.440343+00:00,hyperliquid,BTC,0.02247,1648.53402,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,,,,
,long,,73420.0,,2026-03-16T10:04:14.427973+00:00,hyperliquid,BTC,0.02132,1565.3144,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0xdfd50d93227ad4f896e1ed00c75aa422950a4a51,,,,
,long,,73420.0,,2026-03-16T10:04:14.788077+00:00,hyperliquid,BTC,0.02132,1565.3144,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0xdfd50d93227ad4f896e1ed00c75aa422950a4a51,,,,
,long,,73355.0,,2026-03-16T10:05:28.216227+00:00,hyperliquid,BTC,0.02093,1535.32015,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xbe1f79b4ca0a09fdd71e0055b8e062ea82ad315d,,,,
,long,,73355.0,,2026-03-16T10:05:28.270647+00:00,hyperliquid,BTC,0.02093,1535.32015,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xbe1f79b4ca0a09fdd71e0055b8e062ea82ad315d,,,,
,long,,73263.0,,2026-03-16T10:07:15.356409+00:00,hyperliquid,BTC,0.01997,1463.06211,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,,,
,long,,73263.0,,2026-03-16T10:07:16.402774+00:00,hyperliquid,BTC,0.01997,1463.06211,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,,,
,long,,73338.0,,2026-03-16T10:13:15.800934+00:00,hyperliquid,BTC,0.01988,1457.9594399999999,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,,,,
,long,,73338.0,,2026-03-16T10:13:15.873747+00:00,hyperliquid,BTC,0.01988,1457.9594399999999,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,,,,
,long,,73296.0,,2026-03-16T10:12:44.326133+00:00,hyperliquid,BTC,0.01939,1421.20944,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0x54e989ec6f3999162bc2fa2c1d9139f041a18343,,,,
,long,,73296.0,,2026-03-16T10:12:44.329657+00:00,hyperliquid,BTC,0.01939,1421.20944,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0x54e989ec6f3999162bc2fa2c1d9139f041a18343,,,,
,long,,73367.0,,2026-03-16T10:05:14.311875+00:00,hyperliquid,BTC,0.01901,1394.70667,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0x49dfb8ddbd3ba96c0699a3f120e71f2516c345d8,,,,
,long,,73367.0,,2026-03-16T10:05:14.396091+00:00,hyperliquid,BTC,0.01901,1394.70667,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0x49dfb8ddbd3ba96c0699a3f120e71f2516c345d8,,,,
,long,,73297.0,,2026-03-16T10:12:29.423566+00:00,hyperliquid,BTC,0.01899,1391.91003,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xb668858ff53322d5511651a2cd92391eb5d60ee3,,,,
,long,,73297.0,,2026-03-16T10:12:29.761452+00:00,hyperliquid,BTC,0.01899,1391.91003,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xb668858ff53322d5511651a2cd92391eb5d60ee3,,,,
,long,,73336.0,,2026-03-16T10:10:14.288601+00:00,hyperliquid,BTC,0.01881,1379.45016,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0x4588595ee0047982cd5ca4a82ab69c3174fbc832,,,,
,long,,73336.0,,2026-03-16T10:10:14.300362+00:00,hyperliquid,BTC,0.01881,1379.45016,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0x4588595ee0047982cd5ca4a82ab69c3174fbc832,,,,
,long,,73330.0,,2026-03-16T10:13:45.076210+00:00,hyperliquid,BTC,0.01843,1351.4718999999998,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,,,,
,long,,73330.0,,2026-03-16T10:13:47.202240+00:00,hyperliquid,BTC,0.01843,1351.4718999999998,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,,,,
,long,,73341.0,,2026-03-16T10:06:14.550192+00:00,hyperliquid,BTC,0.01805,1323.80505,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,,
,long,,73341.0,,2026-03-16T10:06:17.426126+00:00,hyperliquid,BTC,0.01805,1323.80505,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,,
,long,,73329.0,,2026-03-16T10:11:14.324402+00:00,hyperliquid,BTC,0.01651,1210.66179,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,,
,long,,73329.0,,2026-03-16T10:11:14.324906+00:00,hyperliquid,BTC,0.01651,1210.66179,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,,
,long,,73315.0,,2026-03-16T10:09:15.003897+00:00,hyperliquid,BTC,0.01632,1196.5008,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0x023a3d058020fb76cca98f01b3c48c8938a22355,,,,
,long,,73315.0,,2026-03-16T10:09:15.016189+00:00,hyperliquid,BTC,0.01632,1196.5008,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0x023a3d058020fb76cca98f01b3c48c8938a22355,,,,
,long,,73313.0,,2026-03-16T10:10:44.357661+00:00,hyperliquid,BTC,0.01614,1183.2718200000002,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0x4588595ee0047982cd5ca4a82ab69c3174fbc832,,,,
,long,,73313.0,,2026-03-16T10:10:45.673360+00:00,hyperliquid,BTC,0.01614,1183.2718200000002,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0x4588595ee0047982cd5ca4a82ab69c3174fbc832,,,,
,long,,73290.0,,2026-03-16T10:08:44.483359+00:00,hyperliquid,BTC,0.01594,1168.2426,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,,
,long,,73290.0,,2026-03-16T10:08:46.428572+00:00,hyperliquid,BTC,0.01594,1168.2426,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,,
,long,,73354.0,,2026-03-16T10:04:44.291556+00:00,hyperliquid,BTC,0.01478,1084.17212,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0xd86a972c48d8895cd17b0c097264250a9d8bf00e,,,,
,long,,73354.0,,2026-03-16T10:04:44.297751+00:00,hyperliquid,BTC,0.01478,1084.17212,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0xd86a972c48d8895cd17b0c097264250a9d8bf00e,,,,
,long,,73263.0,,2026-03-16T10:07:46.760082+00:00,hyperliquid,BTC,0.01421,1041.06723,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,,,
,long,,73263.0,,2026-03-16T10:07:47.785399+00:00,hyperliquid,BTC,0.01421,1041.06723,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,,,
,long,,73356.0,,2026-03-16T10:05:57.749654+00:00,hyperliquid,BTC,0.01355,993.9738,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x551946bd7965303493ff47ecd8c7f2ba8d754d0d,,,,
,long,,73356.0,,2026-03-16T10:05:57.757393+00:00,hyperliquid,BTC,0.01355,993.9738,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x551946bd7965303493ff47ecd8c7f2ba8d754d0d,,,,
,long,,73329.0,,2026-03-16T10:11:46.281438+00:00,hyperliquid,BTC,0.01299,952.54371,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,,,,
,long,,73329.0,,2026-03-16T10:11:46.285481+00:00,hyperliquid,BTC,0.01299,952.54371,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,,,,
,long,,73297.0,,2026-03-16T10:12:29.419977+00:00,hyperliquid,BTC,0.01243,911.08171,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,,,,
,long,,73297.0,,2026-03-16T10:12:29.758945+00:00,hyperliquid,BTC,0.01243,911.08171,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,,,,
