symbol,side,value,price,quantity,timestamp,_exchange,exchange,order_type,avg_price,order_status,coin,size,value_usd,address,pnl
BTC,SHORT,14.68,73400.0,0.0002,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,14.68,73400.0,0.0002,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,13.95,73400.0,0.00019,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,13.95,73400.0,0.00019,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,13.95,73400.0,0.00019,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,13.21,73400.0,0.00018,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,13.21,73400.0,0.00018,1773631994446,hyperliquid,hyperliquid,,,,,,,,
,short,,73595.0,,2026-03-16T03:34:05.761000,hyperliquid,,,,,BTC,0.00017,12.51,0xf433181c...,-0.3
BTC,SHORT,12.49,73453.0,0.00017,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.49,73452.0,0.00017,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.49,73451.0,0.00017,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.49,73450.0,0.00017,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.49,73449.0,0.00017,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.49,73448.0,0.00017,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.49,73447.0,0.00017,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.49,73446.0,0.00017,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.49,73445.0,0.00017,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.49,73444.0,0.00017,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.49,73443.0,0.00017,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.49,73442.0,0.00017,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.48,73441.0,0.00017,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.48,73440.0,0.00017,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.48,73439.0,0.00017,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.48,73438.0,0.00017,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.48,73437.0,0.00017,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.48,73436.0,0.00017,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.48,73407.0,0.00017,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.48,73406.0,0.00017,1773631996948,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.48,73405.0,0.00017,1773631996948,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.48,73400.0,0.00017,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.48,73400.0,0.00017,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12.46,73280.0,0.00017,1773631935842,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11.74,73402.0,0.00016,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11.74,73400.0,0.00016,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11.74,73399.0,0.00016,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11.72,73280.0,0.00016,1773631935842,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11.02,73461.0,0.00015,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11.02,73448.0,0.00015,1773632009980,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11.01,73409.0,0.00015,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,10.28,73436.0,0.00014,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,10.28,73435.0,0.00014,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,7.32,73227.5,0.01,1773631837003,okx,,,,,,,,,
BTC,SHORT,0.73,73275.0,1e-05,1773631944687,hyperliquid,hyperliquid,,,,,,,,
